ID,Nick,Name,Country
10254,big-academy,BIG Academy,Germany
10831,entropiq,Entropiq,Europe
11883,9-pandas,9 Pandas,Russia
11283,falcons,Falcons,Europe
10621,1win,1WIN,Russia
9215,mibr,MIBR,Brazil
11419,ecstatic,ECSTATIC,Denmark
12366,aurora-young-blud,Aurora Young Blud,Russia
12334,preasy,Preasy,Denmark
5158,bravado,Bravado,South Africa
11667,nixuh,Nixuh,South Africa
10854,los-kogutos,los kogutos,Poland
12144,bestia,BESTIA,Argentina
4773,pain,paiN,Brazil
11628,thunderflash,ThunderFlash,Poland
11523,zero-tenacity,Zero Tenacity,Europe
4501,alternate-attax,ALTERNATE aTTaX,Germany
11837,fluxo,Fluxo,Brazil
11251,eternal-fire,Eternal Fire,Turkey
5973,liquid,Liquid,Europe
10894,case,Case,Brazil
11331,websterz,Websterz,Europe
12431,betera,Betera,Belarus
8209,pompa,Pompa,Poland
5005,complexity,Complexity,United States
5995,g2,G2,Europe
11811,monte,Monte,Ukraine
12468,legacy,Legacy,Brazil
8840,lynn-vision,Lynn Vision,China
8193,goliath,Goliath,South Africa
10973,anonymo,Anonymo,Poland
10672,vertex,VERTEX,Australia
12455,vantage,Vantage,Australia
7234,endpoint,Endpoint,United Kingdom
12102,stirlzs-angels,Stirlzs Angels,Australia
12203,sunday-school,sunday school,Australia
12233,solid,Solid,Brazil
12380,cybershoke,CYBERSHOKE,Russia
12286,the-prodigies-se,The Prodigies SE,Sweden
11737,eyeballers,EYEBALLERS,Sweden
5752,cloud9,Cloud9,Russia
11609,genone,GenOne,Europe
12446,416olsk,416Olsk,Sweden
5378,virtuspro,Virtus.pro,Russia
11241,b8,B8,Ukraine
10577,sinners,SINNERS,Czech Republic
10994,o-plano,O PLANO,Brazil
10278,9ine,9INE,Poland
12260,looking4org,Looking4Org,France
11668,mindfreak,Mindfreak,Australia
8885,furia-academy,FURIA Academy,Brazil
11249,meta,Meta,Brazil
8113,sharks,Sharks,Brazil
8637,sprout,Sprout,Denmark
8574,w7m,W7M,Brazil
11306,the-union,The Union,Brazil
10503,og,OG,Europe
11861,aurora,Aurora,Russia
11974,john-industries,John Industries,Australia
12422,totsugeki,Totsugeki,United States
11868,eg-gold,EG Gold,United States
12436,cherry-bombs,Cherry Bombs,United States
5866,karma,Karma,United States
11814,corinthians,Corinthians,Brazil
12414,fake-natty,Fake Natty,Brazil
12456,kidisgraa,Kidisgraça,Brazil
12425,cafeina,Cafeina,South America
12434,divina,Divina,Brazil
12461,fluxo-demons,Fluxo Demons,Brazil
3044,mibr-academy,MIBR Academy,Brazil
11675,navi-javelins,NAVI Javelins,Poland
12185,g2-oya,G2 Oya,Europe
12031,9-pandas-fearless,9 Pandas Fearless,Russia
12186,guild,GUILD,Europe
12421,let-her-cook,Let Her Cook,Europe
12420,shinigami,shinigami,Russia
12358,bebold,BeBold,Brazil
10905,pge-turow,PGE Turow,Poland
9881,rooster,Rooster,Australia
10695,sampi,Sampi,Slovakia
12245,fluffy-aimers,FLUFFY AIMERS,United States
12257,wildcard,Wildcard,United States
11555,uno-mille,UNO MILLE,Brazil
12443,hyperion,Hyperion,United States
12190,shimmer,Shimmer,United States
12460,tsunami-sirens,Tsunami Sirens,North America
12301,flyquest-red,FlyQuest RED,North America
12435,ravens,Ravens,Brazil
10975,mibr-fe,MIBR fe,Brazil
10976,furia-fe,FURIA fe,Brazil
12424,mocreias,mocreias,Brazil
7865,havu,HAVU,Finland
12393,filhos-de-d10s,Filhos de D10S,Brazil
12318,intense,Intense,Brazil
11309,00nation,00NATION,Europe
11681,nigma-galaxy,Nigma Galaxy,Russia
12222,vpangels,VP.Angels,Russia
12450,ence-athena,ENCE Athena,Europe
11718,big-equipa,BIG EQUIPA,Portugal
12447,selva,SELVA,Brazil
11608,windingo,WINDINGO,Argentina
11164,into-the-breach,Into the Breach,Europe
11300,looking-for-org,Looking For Org,Australia
12000,500,500,Bulgaria
12276,dxa,DXA,Australia
10459,arcred,ARCRED,Europe
8135,forze,FORZE,Russia
8008,grayhound,Grayhound,Australia
12394,betboom,BetBoom,Russia
10567,saw,SAW,Portugal
7020,spirit,Spirit,Russia
11948,nouns,Nouns,United States
10399,evil-geniuses,Evil Geniuses,United States
8038,party-astronauts,Party Astronauts,United States
11768,oddik,ODDIK,Brazil
12181,lrv,LRV,Argentina
12396,5yclone,5yclone,China
9996,9z,9z,South America
11518,bad-news-eagles,Bad News Eagles,Kosovo
12315,victory-zigzag,Victory Zigzag,Europe
11917,nip-impact,NIP Impact,Europe
4608,natus-vincere,Natus Vincere,Europe
6667,faze,FaZe,Europe
11827,jano,JANO,Finland
5996,tsm,TSM,Europe
9806,apeks,Apeks,Europe
6978,singularity,Singularity,Poland
11388,limitless,Limitless,United States
12409,badass,Badass,United States
12375,forsaken,Forsaken,United States
9455,imperial,Imperial,Brazil
4991,fnatic,fnatic,Europe
12376,m80,M80,United States
12289,espionage,Espionage,Denmark
10995,boca-juniors,Boca Juniors,Argentina
4494,mouz,MOUZ,Europe
12050,redpack,RedPack,Europe
11138,benched,benched,Russia
12227,shapito,SHAPITO,Ukraine
11790,ence-academy,ENCE Academy,Finland
10867,masonic,MASONIC,Denmark
11863,kari,Kari,United States
9799,bad-news-bears,Bad News Bears,North America
12285,knasigt,knasigT,Sweden
10954,astralis-talent,Astralis Talent,Denmark
7532,big,BIG,Germany
4869,ence,ENCE,Europe
7187,nexus,Nexus,Romania
7718,movistar-riders,Movistar Riders,Spain
7379,ftw,FTW,Portugal
11283,falcons,Falcons,France
11624,antic,Antic,Australia
7175,heroic,Heroic,Denmark
12390,los-alpacas,Los Alpacas,Portugal
10873,enterprise,Enterprise,Czech Republic
9799,bad-news-bears,Bad News Bears,United States
12344,raptors-ec,RAPTORS EC,Europe
12028,the-prodigies,The Prodigies,Europe
11484,ex-coalesce,ex-Coalesce,United Kingdom
12374,verdant,Verdant,United Kingdom
11712,sashi,Sashi,Denmark
12384,hound,Hound,United States
4822,reason,Reason,United States
11331,websterz,Websterz,Belarus
10947,rhyno,Rhyno,Portugal
12377,ghoulsw,GhoulsW,Europe
12373,melbet,MelBet,Ukraine
7441,eclot,ECLOT,Czech Republic
9928,gamerlegion,GamerLegion,Europe
8297,furia,FURIA,Brazil
9565,vitality,Vitality,Europe
5111,serbia,Serbia,Serbia
11964,traffic-tashkent,TRAFFIC Tashkent,Uzbekistan
4411,ninjas-in-pyjamas,Ninjas in Pyjamas,Sweden
6665,astralis,Astralis,Denmark
5143,germany,Germany,Germany
12371,orks,ORKS,Poland
10851,wings-up,Wings Up,China
12312,atox,ATOX,Mongolia
6248,themongolz,TheMongolz,Mongolia
5144,ukraine,Ukraine,Ukraine
10839,newhappy,Newhappy,China
10669,paquet,Paquetá,Brazil
11135,nkt,NKT,Asia
5058,hungary,Hungary,Hungary
4863,tyloo,TYLOO,Asia
6178,australia,Australia,Australia
11422,the-jungle,the jungle,North America
11946,sojoga,Sojoga,Brazil
12097,eruption,Eruption,Mongolia
5479,mythic,Mythic,United States
12388,space,Space,Russia
12277,rocket,Rocket,United States
11631,unjustified,Unjustified,United States
11660,take-flyte,Take Flyte,United States
11769,b4-fe,B4 fe,Brazil
11063,green-tea-party,Green Tea Party,United States
12012,7am-na,7AM NA,United States
11512,tempest,Tempest,United States
12242,claymakers,ClayMakers,Ukraine
12255,ks,KS,Kosovo
12410,the-free,THE FREE,United Kingdom
12333,question-mark,Question Mark,Belarus
11982,ikla,IKLA,Europe
12382,rubik,RUBIK,Hungary
12383,ex-ination,ex-iNation,Serbia
8637,sprout,Sprout,Europe
12117,let-us-cook,Let us cook,Poland
12124,insilio,Insilio,Russia
11309,00nation,00NATION,Brazil
11581,hotu,HOTU,Russia
12262,ynt,YNT,Russia
10333,sangal,Sangal,Europe
12107,synck,sYnck,Estonia
12251,vybn,VYBN,South Africa
12328,ikla-ua,IKLA UA,Ukraine
11273,steel-helmet,Steel Helmet,China
11656,clutch,Clutch,Mongolia
11871,cr,CR,China
12357,omit,OMiT,United States
10918,navi-youth,NAVI Youth,Ukraine
11336,detonate,Detonate,United States
9506,viperio,Viperio,United Kingdom
12028,the-prodigies,The Prodigies,Latvia
12336,ex-bhop,ex-BHOP,United States
12310,ex-snakes-den,ex-Snakes Den,United States
10464,timbermen,timbermen,United States
11486,squad,SQUAD,Portugal
6799,furious,Furious,Argentina
7969,nemiga,Nemiga,Europe
12087,lazer-cats,Lazer Cats,Ukraine
11909,7am,7AM,United Kingdom
12381,pneuma,PNEUMA,United States
11422,the-jungle,the jungle,Canada
12210,melly-madness,Melly Madness,United States
12235,moon,MOON,Russia
12365,ex-hydra,ex-HYDRA,Russia
4822,reason,Reason,Canada
12385,fakemythic,FakeMythic,United States
10786,river-plate,River Plate,Argentina
12313,ex-domination,ex-DomiNation,Hungary
7674,ambush,Ambush,Europe
12266,lg,L&amp;G,Ukraine
11630,ajf,AJF,Brazil
10464,timbermen,timbermen,Asia
12035,hype,Hype,Brazil
9139,brute,BRUTE,Czech Republic
12241,without-warning,WITHOUT WARNING,United States
8120,avangar,AVANGAR,Kazakhstan
11523,zero-tenacity,Zero Tenacity,Serbia
7176,red-canids,RED Canids,Brazil
12246,w7m-academy,W7M Academy,Brazil
12331,dofg,DOFG,Kazakhstan
8068,ago,AGO,Poland
10960,young-ninjas,Young Ninjas,Sweden
11425,prospects,PROSPECTS,Sweden
9671,make-your-destiny,Make Your Destiny,Portugal
10371,navi-junior,NAVI Junior,Ukraine
12240,ignis-serpens,Ignis Serpens,Poland
11514,rare-atom,Rare Atom,China
6619,intz,INTZ,Brazil
11664,atlantic,Atlantic,Denmark
9466,gtz,GTZ,Portugal
8813,illuminar,Illuminar,Poland
11716,iron-branch,Iron Branch,Belarus
12314,ex-777,ex-777,Norway
12148,ex-corinthians-academy,ex-Corinthians Academy,Brazil
11599,bhop,BHOP,United States
12295,torch,Torch,North America
12189,detonate-sparx,Detonate SparX,United States
12193,factor-ruby,Factor Ruby,United States
11060,epic-dudes,EPIC DUDES,Germany
11538,reign,REIGN,United States
11905,pain-academy,paiN Academy,Brazil
11176,mouz-nxt,MOUZ NXT,Europe
12259,ex-copenhagen-flames,ex-Copenhagen Flames,Denmark
7234,endpoint,Endpoint,Europe
11982,ikla,IKLA,Ukraine
12011,e-lemon-ators,e-LEMON-ators,Australia
9943,atk,ATK,United States
12040,tropicaos,TropiCaos,Brazil
5005,complexity,Complexity,North America
12239,into-the-win,Into the Win,United Kingdom
12182,domination,DomiNation,Hungary
11278,coalesce,Coalesce,United Kingdom
11811,monte,Monte,Europe
11354,the-big-dogs,The Big Dogs,Australia
12117,let-us-cook,Let us cook,Europe
12168,hydra,HYDRA,Russia
12199,arcadia,Arcadia,France
11174,portugal,PORTUGAL,Europe
10333,sangal,Sangal,Germany
12093,nakama,Nakama,France
12282,runkill,Run&amp;Kill,France
11006,9z-academy,9z Academy,Argentina
11301,genk,Genk,Europe
10999,ec-brugge,EC Brugge,Europe
12303,friforsatan,friforsatan,Denmark
12258,unluko5,Unluko5,Europe
11515,cryptova,Cryptova,Czech Republic
11535,black-dragons-fe,Black Dragons fe,Brazil
11652,looking-for-org,Looking For Org,Russia
12253,energyultra,ENERGYULTRA,Sweden
11561,arctic,ARCTIC,Brazil
4803,ination,iNation,Serbia
5973,liquid,Liquid,United States
12291,sakana123,sakana123,United Kingdom
12073,saints,Saints,United States
7900,spirit-academy,Spirit Academy,Russia
10831,entropiq,Entropiq,Czech Republic
4411,ninjas-in-pyjamas,Ninjas in Pyjamas,Europe
11735,eg-black,EG Black,United States
7244,k23,K23,Russia
11017,visu,VISU,Finland
4674,ldlc,LDLC,France
6902,godsent,GODSENT,Sweden
12245,fluffy-aimers,FLUFFY AIMERS,North America
11889,forward,Forward,Russia
12105,cartel-terraza,Cartel terraza,Peru
4608,natus-vincere,Natus Vincere,Ukraine
11613,snakes-den,Snakes Den,United States
11298,strife,Strife,United States
12249,ex-partizan,ex-Partizan,Europe
12213,biskvitki-zakuska,Biskvitki Zakuska,Bulgaria
12236,ex-clg-red,ex-CLG Red,North America
11920,astralis-w,Astralis W,Europe
12264,ex-fourteen,ex-Fourteen,Portugal
12183,the-witchers,The Witchers,Ukraine
9943,atk,ATK,North America
7461,copenhagen-flames,Copenhagen Flames,Denmark
11501,heet,HEET,France
12166,twisted-minds,Twisted Minds,Europe
10697,blink,BLINK,Kosovo
12234,ex-honoris,ex-HONORIS,Poland
10857,dnmk,DNMK,South Africa
12204,359,359,Bulgaria
11458,eternal-fire-academy,Eternal Fire Academy,Turkey
10817,invictus-international,Invictus International,Asia
11838,partizan,Partizan,Europe
4602,tricked,Tricked,Denmark
11016,x13,X13,United States
11868,eg-gold,EG Gold,North America
11726,encore,Encore,Australia
12065,flamengo,Flamengo,Brazil
11243,apeks-rebels,Apeks Rebels,Norway
11354,the-big-dogs,The Big Dogs,Asia
12073,saints,Saints,Europe
12191,byte,byte,United States
12192,starfish,Starfish,United States
11733,endgame,ENDGAME,Brazil
11960,w7m-fe,W7M fe,Brazil
12188,lrv-fe,LRV fe,Argentina
12186,guild,GUILD,Norway
12209,spirit-fe,Spirit fe,Europe
12178,aces,Aces,Europe
11961,flames-shieldmaidens,Flames Shieldmaidens,Denmark
12038,1-jin,1 JIN,United States
11943,dna,DNA,China
12189,detonate-sparx,Detonate SparX,North America
12166,twisted-minds,Twisted Minds,Syria
4863,tyloo,TYLOO,China
12154,yur,yur,United States
6947,teamone,TeamOne,Brazil
11931,fusion,FUSION,Argentina
11464,paloma,PALOMA,Poland
6242,clg-red,CLG Red,North America
12119,ntk,NtK,Denmark
12132,fusco-1500,Fuscão 1500,Brazil
12202,desorganizados,Desorganizados,Argentina
8064,undefined,undefined,Europe
11557,deadweight,DeadWeight,Australia
12039,arctic-raptors,Arctic Raptors,United Kingdom
11569,fourteen,Fourteen,Portugal
12146,carecas,CARECAS,Brazil
12095,into-the-bin,Into the Bin,United Kingdom
12187,parabellum-fe,Parabellum fe,Brazil
11826,vendetta,Vendetta,United States
11176,mouz-nxt,MOUZ NXT,Denmark
11716,iron-branch,Iron Branch,Ukraine
10737,honoris,HONORIS,Poland
11340,davenport-university,Davenport University,United States
12105,cartel-terraza,Cartel terraza,South America
12180,tsunami,Tsunami,United States
11585,ihc,IHC,Mongolia
12218,better-than-you,better than you,Australia
12044,boston-crab,Boston crab,Russia
9802,budapest-five,Budapest Five,Europe
12129,angels,Angels,Russia
12215,crisinjo,crisinjo,Russia
12088,gr,GR,Russia
11734,eg-white,EG White,United States
11595,outsiders,Outsiders,Russia
12103,hello-kitten,Hello Kitten,Australia
12151,majestic-foghorns,Majestic Foghorns,Australia
11899,gods-work,God's Work,Oceania
12212,ex-antic,ex-Antic,Asia
11134,cepter,CEPTER,Denmark
8557,mad-kings,Mad Kings,Peru
11980,prosapia,Prosapia,Denmark
9943,atk,ATK,Other
12194,rune-eaters,Rune Eaters,Kazakhstan
12115,noxious,Noxious,United States
11026,voyvoda,VOYVODA,Bulgaria
7434,conquer,Conquer,Finland
9565,vitality,Vitality,France
11596,enhanced,Enhanced,Finland
11298,strife,Strife,North America
9735,lilmix,Lilmix,Sweden
12172,ex-villainous,ex-Villainous,North America
12099,mixfits,Mixfits,France
11609,genone,GenOne,France
11553,dripmen,Dripmen,United Kingdom
12068,katuna,Katuna,Bulgaria
9943,atk,ATK,Europe
12091,invsn,INVSN,Russia
12009,permitta,Permitta,Poland
11795,villainous,Villainous,North America
11832,lord-rabbit,Lord Rabbit,China
12158,vladivostok,Vladivostok,Russia
10943,777,777,Norway
12163,ex-rapid-ninjas,ex-Rapid Ninjas,Hungary
11059,renewal,Renewal,Mongolia
11135,nkt,NKT,Mongolia
5347,bluejays,BLUEJAYS,North Macedonia
11502,disconnected,Disconnected,United States
12094,tenstar,TENSTAR,Bulgaria
11997,hsg-fe,HSG fe,Asia
11624,antic,Antic,Oceania
7969,nemiga,Nemiga,Russia
10509,juggernauts,Juggernauts,Europe
12139,ex-isurus,ex-Isurus,Argentina
12073,saints,Saints,North America
12092,rapid-ninjas,Rapid Ninjas,Hungary
11755,red-wolves,Red Wolves,United States
10813,eros,Eros,North America
11387,ungentium,UNGENTIUM,Poland
11915,flames-ascent,Flames Ascent,Denmark
7653,isurus,Isurus,Argentina
12037,take-charge,Take Charge,United States
12121,no-org,NO ORG,Brazil
11676,los-grandes-academy,Los Grandes Academy,Brazil
12106,farfaraway,farfaraway,Russia
10999,ec-brugge,EC Brugge,Poland
12006,estownia,ESTOWNIA,Estonia
11984,ex-finest,ex-Finest,Europe
11717,arena,Arena,Asia
11058,exen,EXEN,Finland
10817,invictus-international,Invictus International,Europe
12098,4bots-eric,4Bots &amp; Eric,United States
10817,invictus-international,Invictus International,Russia
12043,post-mortem,Post Mortem,United States
11699,baks,BakS,Russia
11881,163on,163ON,Russia
10817,invictus-international,Invictus International,Israel
11736,1pin,1PIN,United Kingdom
8248,pact,PACT,Poland
11481,ex-into-the-breach,ex-Into the Breach,United Kingdom
11934,iron-blood,Iron Blood,United States
11328,aravt,ARAVT,Mongolia
11195,fnatic-rising,fnatic Rising,Europe
11984,ex-finest,ex-Finest,Poland
11164,into-the-breach,Into the Breach,United Kingdom
9963,infinity,Infinity,South America
10999,ec-brugge,EC Brugge,Belgium
11805,corinthians-academy,Corinthians Academy,Brazil
11240,allstars,allStars,Romania
5412,esuba,eSuba,Czech Republic
11838,partizan,Partizan,Serbia
12010,ex-daotsu,ex-Daotsu,Brazil
10993,onetap,OneTap,Romania
10709,sws,SWS,Brazil
5109,bosnia-herzegovina,Bosnia &amp; Herzegovina,Bosnia and Herzegovina
11153,rehl,Rehl,Brazil
11996,ex-tag,ex-TAG,Russia
11470,nut-e,Nut-E,Australia
11899,gods-work,God's Work,Australia
10815,liberty,Liberty,Brazil
11943,dna,DNA,Asia
10545,chetz,Chetz,United Kingdom
7340,wolsung,Wolsung,Latvia
11629,magic-school-bus,Magic School Bus,United States
8637,sprout,Sprout,Germany
10928,nofear5,NOFEAR5,Russia
11336,detonate,Detonate,North America
9797,avez,AVEZ,Poland
11525,ktrl,KTRL,Europe
10873,enterprise,Enterprise,Europe
7900,spirit-academy,Spirit Academy,Ukraine
11900,frontier,Frontier,Australia
11645,lausanne-se,Lausanne SE,Switzerland
11692,irie-legacy,Irie Legacy,Europe
11147,entropiq-prague,Entropiq Prague,Czech Republic
9272,dynasty,Dynasty,Australia
11834,skade-x,SKADE X,Norway
11204,warriors,Warriors,Australia
11901,kraken,KRAKEN,Asia
11423,yellow,yellow,Oceania
11301,genk,Genk,Netherlands
11386,0to100,0to100,Serbia
11717,arena,Arena,Australia
7555,royals,ROYALS,United Kingdom
11672,og-academy,OG Academy,Europe
10399,evil-geniuses,Evil Geniuses,North America
11709,daotsu,Daotsu,Brazil
11906,blacklaminate,blacklaminate,South Africa
11857,jijiehao-international,JiJieHao International,Israel
9648,kova,KOVA,Finland
11947,ex-skade,ex-SKADE,Bulgaria
11558,dgg,DGG,Australia
10831,entropiq,Entropiq,Russia
11584,sc,SC,Estonia
11001,onyx,ONYX,Hungary
11994,dng,DNG,Argentina
6001,mob,MOB,Argentina
10462,brazen,Brazen,United States
11861,aurora,Aurora,Europe
7820,goodjob,GoodJob,Belarus
10051,mazaalai,Mazaalai,Mongolia
11747,victorum,Victorum,United States
11795,villainous,Villainous,United States
10775,elemental,Elemental,Australia
11423,yellow,yellow,Asia
11800,needdoctor,NeedDOCTOR,Bulgaria
11984,ex-finest,ex-Finest,Sweden
11530,x,X,Kosovo
11327,shape,SHAPE,Europe
11985,ex-titans,ex-TITANS,Europe
11716,iron-branch,Iron Branch,Europe
11902,meat-grinders,Meat Grinders,Australia
11810,beyond-possible,Beyond Possible,Bulgaria
11885,fantasy,FANTASY,Europe
11239,camo,CAMO,Australia
11825,titans,TITANS,Europe
11771,tag,TAG,Russia
11918,phantom-troupe,Phantom Troupe,United States
10276,finest,Finest,Sweden
11963,task-force-141,Task Force 141,United States
10888,ec-kyiv,EC Kyiv,Ukraine
11951,ape-gang,Ape Gang,Argentina
11840,hotspurs,Hotspurs,Sweden
11633,lf0,LF0,Russia
11563,strive-in-chaos,Strive in chaos,Europe
11773,arvum,Arvum,Argentina
10864,vpprodigy,VP.Prodigy,Russia
10408,jointheforce,JoinTheForce,Netherlands
10873,enterprise,Enterprise,Slovakia
11423,yellow,yellow,Australia
11015,redragon,Redragon,Brazil
11341,all-gas-no-brakes,All Gas No Brakes,United States
11930,b4-academy,B4 Academy,Brazil
11884,rcl,RCL,Russia
11527,eko,EKO,United Kingdom
11869,squirtle-squad,Squirtle Squad,United States
11331,websterz,Websterz,Russia
10823,infinite,Infinite,Romania
8211,nasr,NASR,Other
10386,skade,SKADE,Bulgaria
8211,nasr,NASR,Russia
11824,electrify-steel,Electrify Steel,United States
11638,blvkhvnd,BLVKHVND,United Kingdom
11826,vendetta,Vendetta,Asia
11412,stars-horizon,Stars Horizon,Brazil
7555,royals,ROYALS,Europe
11841,yodagus,yodagus,Denmark
11567,b4,B4,Brazil
10811,northern-forces,Northern Forces,United States
11371,xdddd,xDDDD,Russia
10968,cowana,cowana,Germany
11839,schade-halt,schadE halt,Europe
7674,ambush,Ambush,France
11879,jpb,JPB,Asia
8668,order,ORDER,Australia
11436,triple-6,Triple 6,Asia
11583,premghouls,premghouls,Russia
11420,los-grandes,Los Grandes,Brazil
11839,schade-halt,schadE halt,Germany
11788,neon-rangers,Neon Rangers,Russia
8607,d13,D13,Mongolia
11866,ex-holkattes,ex-Holkattes,Argentina
11571,gaimin-gladiators,Gaimin Gladiators,United States
11254,onet4p,ONET4P,United States
11778,flowstate,flowstate,Russia
7966,invictus,Invictus,China
11101,catevil,CatEvil,China
11542,yk,YK,China
11824,electrify-steel,Electrify Steel,North America
10387,hawks,Hawks,Argentina
11176,mouz-nxt,MOUZ NXT,Poland
11703,holkattes,Holkattes,Argentina
11756,quem-sao-elas,Quem Sao Elas,Brazil
7208,young-gods,Young Gods,Brazil
11738,doing-fun,Doing Fun,United States
11219,inde-irae,INDE IRAE,Russia
11046,stone,Stone,Argentina
11770,velox-academy,VELOX Academy,Argentina
11764,mvp,MVP,Russia
11534,nsc,NSC,Europe
11044,leviatan,Leviatan,Argentina
7653,isurus,Isurus,Brazil
11710,wap,WAP,Argentina
11766,racing-avellaneda,Racing Avellaneda,Argentina
11651,cloudrunners,CloudRunners,Belarus
11636,aftershock,Aftershock,Australia
11700,axolotls,Axolotls,United States
11767,outplayed,OUTPLAYED,Argentina
7842,dark-tigers,Dark Tigers,Slovakia
11745,luxe,Luxe,United States
8515,offset,OFFSET,Portugal
11275,nsn,NSN,China
5108,norway,Norway,Norway
10933,4glory,4glory,Serbia
11720,perspektiva,Perspektiva,Montenegro
6242,clg-red,CLG Red,United States
11665,ex-mad-lions,ex-MAD Lions,Europe
11723,hummer,HUMMER,Brazil
11515,cryptova,Cryptova,Slovakia
11743,flet,FLET,Poland
11612,philadelphia-liberty,Philadelphia Liberty,United States
8120,avangar,AVANGAR,Europe
11765,sacrifice,Sacrifice,United States
4469,k1ck,k1ck,Bulgaria
11711,players,Players,Brazil
11618,nexga,NEXGA,Indonesia
11746,vexo-purple,Vexo Purple,United States
7109,born-in-mongolia,Born in Mongolia,Mongolia
9802,budapest-five,Budapest Five,Hungary
11278,coalesce,Coalesce,Sweden
11621,impression,Impression,Poland
9789,nlg,NLG,Germany
11512,tempest,Tempest,Turkey
11386,0to100,0to100,Europe
11739,little-socks,Little Socks,North America
4413,lemondogs,Lemondogs,Sweden
11693,vikings,Vikings,Norway
11694,cocolovers,Cocolovers,Finland
11740,cookie-clowns,Cookie Clowns,United States
10906,counter-nature,Counter Nature,United States
11570,winx,WinX,Bulgaria
11425,prospects,PROSPECTS,Norway
6902,godsent,GODSENT,Brazil
11358,valors,Valors,Canada
11425,prospects,PROSPECTS,Europe
4762,hellslayers,Hellslayers,Sweden
4869,ence,ENCE,Poland
11533,please-send-help,Please Send Help,United States
11687,ex-uyu,ex-UYU,United States
11521,carpe-diem,Carpe Diem,United States
7120,entropy,Entropy,Germany
10942,oilers,Oilers,Norway
10978,velox,VELOX,Spain
11724,operation-save-spot,Operation Save Spot,United Kingdom
9928,gamerlegion,GamerLegion,Sweden
11588,so-caetano,São Caetano,Brazil
4608,natus-vincere,Natus Vincere,Russia
10426,wisla-krakow,Wisla Krakow,Poland
10448,babos,Babos,Switzerland
11292,1shot,1shot,Russia
11619,the-shine,The Shine,Mongolia
11595,outsiders,Outsiders,Europe
11327,shape,SHAPE,Switzerland
11180,cruzeiro,Cruzeiro,Brazil
6211,renegades,Renegades,Australia
11688,happy-mouse,Happy Mouse,Brazil
11604,smoad,SMOAD,Turkey
11689,fplckings,FPLCKINGS,Israel
4579,lowlandlions,LowLandLions,Europe
11627,forsaken,Forsaken,Poland
11658,ex-black-dragons,ex-Black Dragons,Brazil
11683,lamafia,laMafia,Brazil
11637,heaven-and-hell,Heaven and Hell,United Kingdom
11606,fambit,FAMBIT,United Kingdom
11654,asg,ASG,Russia
10469,third-impact,Third Impact,United States
11498,liberty-fe,Liberty fe,Brazil
10125,dusty,DUSTY,Iceland
11547,temperate,Temperate,United Kingdom
6089,the-last-resort,The Last Resort,United Kingdom
8960,bitfix,Bitfix,Norway
7983,paradox,Paradox,Australia
9783,exalty,Exalty,France
11622,pop,PoP,Australia
11471,1620-kings,1620 Kings,Australia
11401,savage,Savage,Sweden
11641,metizport,Metizport,Norway
11471,1620-kings,1620 Kings,Oceania
11487,los-reyes,Los Reyes,Denmark
8704,agf,AGF,Denmark
11616,players,Players,Russia
11076,uyu,UYU,United States
11400,ex-fury,ex-FURY,Australia
5422,dignitas,Dignitas,Sweden
9287,unique,Unique,Kazakhstan
11312,quazar,QUAZAR,Russia
11559,sanguine,Sanguine,Australia
8362,mad-lions,MAD Lions,Europe
10970,dream,DREAM,Denmark
10967,sissi-state-punks,Sissi State Punks,Germany
11646,ouroboros,ouroboros,Russia
11606,fambit,FAMBIT,Europe
11385,run-or-die,Run or Die,Ukraine
11491,orgless,Orgless,United States
11260,kanga,Kanga,Australia
7081,black-dragons,Black Dragons,Brazil
11470,nut-e,Nut-E,Oceania
11456,linx-legacy,Linx Legacy,Denmark
10157,kinship,Kinship,United States
10695,sampi,Sampi,Czech Republic
9875,big-chillin,Big Chillin,United States
7720,incontrol,InControl,United States
11113,ave,AVE,Russia
6978,singularity,Singularity,Russia
11146,bandits,Bandits,Australia
10744,levitate,Levitate,United States
11297,touch-point,Touch Point,United States
11568,eles,ELES,Brazil
8362,mad-lions,MAD Lions,Denmark
10854,los-kogutos,los kogutos,Europe
10885,levadia,Levadia,Estonia
11623,imported-talent,Imported Talent,United Kingdom
11408,collateral,Collateral,Australia
10720,galaxy-racer-fe,Galaxy Racer fe,Russia
11298,strife,Strife,Canada
11198,domilk,domilk,Australia
9863,fate,FATE,Bulgaria
10711,overt,Overt,Australia
11193,8ballers,8Ballers,Australia
11539,omapeli,Omapeli,Finland
11321,kappa-bar,Kappa Bar,Sweden
11459,omega,Omega,United States
11523,zero-tenacity,Zero Tenacity,Bosnia and Herzegovina
11522,marten-rising,Marten  Rising,Europe
11493,monke,MONKE,Poland
10796,checkmate,Checkmate,Mongolia
6242,clg-red,CLG Red,United States
11497,little-bocks,Little Bocks,Canada
